,Year,summed_COOPS,BTEX,Xylene,1-Butene,1-Dodecene,1-Heptene,1-Hexene,1-Nonene,1-Octene,1-Pentene,1-Tridecene,1-Undecene,"1,2,3-Trimethylbenzene","1,2,4-Trimethylbenzene","1,3-Butadiene","1,3,5-Trimethylbenzene",MEK,2-Ethyl-1-butene,2-Methyl-1-butene,2-Methyl-1-pentene,2-Methyl-2-butene,2-Methylheptane,2-Methylhexane,2-Methylpentane,"2,2-Dimethylbutane","2,2,3-Trimethylpentane","2,2,4-Trimethylpentane","2,3-Dimethylbutane","2,3-Dimethylpentane","2,3,4-Trimethylpentane","2,4-Dimethylpentane",3-Methyl-1-butene,3-Methylheptane,3-Methylhexane,3-Methylpentane,4-Methyl-1-pentene,Acetaldehyde,Acetone,Acetylene,Acrolein,Benzaldehyde,Benzene,Butyraldehyde,cis-2-Butene,cis-2-Hexene,cis-2-Pentene,Crotonaldehyde,Cyclohexane,Cyclopentane,Cyclopentene,Ethane,Ethylbenzene,Ethylene,Formaldehyde,Hexaldehyde,Isobutane,Isobutylene,Isopentane,Isoprene,Isopropylbenzene,m-Diethylbenzene,m-Ethyltoluene,m-Tolualdehyde,m/p-Xylenes,Methacrolein,Methane,Methylcyclohexane,Methylcyclopentane,n-Butane,n-Decane,n-Dodecane,n-Heptane,n-Hexane,n-Nonane,n-Octane,n-Pentane,n-Propylbenzene,n-Tridecane,n-Undecane,o-Ethyltoluene,o-Xylene,p-Diethylbenzene,p-Ethyltoluene,Propane,Propionaldehyde,Propylene,Propyne,Styrene,Toluene,trans-2-Butene,trans-2-Hexene,trans-2-Pentene,Valeraldehyde,alpha-pinene,beta-pinene
0,2012,2398.475,8.905999999999999,1.05,,0.036,0.126,0.102,0.071,0.059,0.543,0.0,0.002,0.212,1.054,0.524,0.366,1.32,0.0,0.414,0.006,0.508,0.436,1.722,4.044,0.483,0.19,1.067,0.836,0.826,0.411,0.469,0.067,0.406,1.614,2.395,0.009,2.931,12.216,2.925,,0.478,1.411,0.664,0.292,0.007,0.169,0.598,1.304,0.783,0.006,23.682,0.876,6.196,3.21,0.32,4.927,,12.722,0.665,0.03,0.172,0.678,,,,2237.045,1.25,2.046,12.602,0.531,0.195,1.335,4.183,0.43,0.726,8.772,0.223,0.075,0.291,0.353,1.05,0.023,0.328,19.75,0.629,2.16,0.007,0.059,5.569,0.363,0.023,0.335,0.16,0.178,0.204
1,2013,2699.733999999999,14.989999999999998,1.691,,0.006,0.0,0.085,0.151,0.08,0.472,0.0,0.004,0.396,2.131,0.361,0.705,1.289,0.0,0.337,0.003,0.473,0.665,2.966,4.109,0.418,0.405,1.493,0.798,1.115,0.605,0.468,0.003,0.66,2.405,2.272,0.0,2.622,9.735,4.756,,0.508,3.035,0.584,0.286,0.012,0.144,0.496,2.135,0.734,0.017,29.516,1.346,7.42,2.836,0.341,5.761,,12.545,0.374,0.038,0.006,1.27,,,,2515.614,1.698,1.994,13.896,0.913,0.3,2.11,3.575,0.642,1.041,8.178,0.328,0.109,0.45,0.593,1.691,0.0,0.595,21.414,0.544,2.418,0.028,0.017,8.918,0.404,0.044,0.313,0.153,0.362,0.0
2,2014,2524.996999999999,13.793,1.498,,0.064,0.036,0.13,0.184,0.174,0.41,0.0,0.006,0.421,1.857,0.298,0.626,1.129,0.0,0.383,0.012,0.461,0.643,2.398,3.431,0.429,0.12,1.345,0.652,0.908,0.517,0.515,0.0,0.586,2.019,1.809,,2.528,10.571,3.97,,0.524,2.259,0.542,0.217,0.021,0.111,0.522,1.498,0.667,0.063,24.247,1.197,6.44,3.023,0.373,4.783,,8.307,0.428,0.023,0.068,1.195,,,,2367.069,1.435,2.075,11.308,0.837,0.33,1.676,3.387,0.585,0.951,6.586,0.312,0.169,0.432,0.509,1.498,0.004,0.524,17.23,0.522,2.358,0.008,0.012,8.839,0.303,0.029,0.266,0.157,0.429,0.017
3,2015,2411.3779999999992,12.985,1.497,,0.0,0.009,0.216,0.266,0.186,0.544,0.002,0.014,0.403,1.704,0.309,0.607,1.172,0.004,0.407,0.01,0.395,0.646,4.835,3.643,0.457,0.065,1.656,0.661,1.303,0.514,0.857,0.0,0.611,3.277,1.913,0.0,2.758,9.94,3.644,,0.511,2.213,0.566,0.215,0.01,0.121,0.486,3.995,0.73,0.028,27.793,1.182,6.174,2.854,0.403,5.422,,1.03,0.381,0.029,0.058,1.464,,,,2248.8,1.352,2.293,11.66,0.743,0.285,1.842,3.774,0.606,0.954,8.528,0.265,0.045,0.391,0.493,1.497,0.006,0.554,16.325,0.544,2.136,0.006,0.008,8.093,0.435,0.047,0.287,0.208,0.478,0.03
4,2016,2747.438,10.062999999999999,0.92,0.066,0.082,0.068,0.104,0.263,0.235,0.254,0.0,0.048,0.217,1.092,0.152,0.417,1.217,0.0,0.315,0.011,0.4,0.409,3.0,2.595,0.253,0.124,1.135,0.51,0.852,0.357,0.577,0.0,0.381,2.01,1.372,0.01,2.392,8.58,3.794,0.258,0.667,2.194,0.579,0.124,0.021,0.054,0.203,2.559,0.521,0.06,34.913,0.83,5.361,2.803,0.375,4.694,,8.125,0.114,0.027,0.026,0.637,,,0.248,2596.272,0.865,1.579,11.809,0.509,0.224,1.518,2.769,0.425,0.698,5.283,0.135,0.095,0.298,0.263,0.92,0.003,0.331,15.719,0.503,1.576,0.006,0.0,6.119,0.161,0.038,0.129,0.316,0.19,0.0
5,2017,2421.1100000000006,7.433,0.505,0.025,,,0.0,,,0.005,,,0.062,0.125,0.007,0.22,,,,,,0.238,0.284,1.979,0.185,,0.636,0.43,0.352,0.156,0.241,,0.236,0.941,1.09,,2.69,9.725,3.53,0.243,0.651,1.764,,0.0,,0.0,0.01,0.725,0.387,,28.038,0.541,4.259,2.964,0.389,3.584,,6.218,0.023,0.034,0.0,0.274,,,0.41,2308.185,0.646,1.09,9.131,0.166,0.072,1.052,1.833,0.382,0.47,4.228,0.018,,0.169,0.005,0.505,0.0,0.221,12.774,0.58,0.92,,0.0,4.623,0.007,,0.0,0.359,0.003,0.0
6,2018,2316.0010000000007,8.83,0.602,0.098,,,0.0,,,0.149,,,0.062,0.302,0.11,0.249,,,,,,0.28,0.43,2.034,0.121,,1.013,0.426,0.477,0.223,0.262,,0.293,1.234,1.274,,3.1,10.266,4.264,0.29,0.625,1.843,,0.026,,0.016,0.005,0.67,0.498,,32.233,0.569,5.228,3.617,0.519,4.457,,6.611,0.028,0.0,0.0,0.472,,,0.393,2184.675,0.772,1.136,11.052,0.379,0.136,1.259,1.985,0.348,0.492,4.393,0.054,,0.321,0.0,0.602,0.0,0.466,15.097,0.627,1.097,,0.0,5.816,0.036,,0.03,0.427,0.034,0.0
7,2019,2112.6699999999996,5.947,0.479,0.018,,,0.0,,,0.211,,,0.046,0.048,0.0,0.131,,,,,,0.223,0.182,1.98,0.118,,0.913,0.403,0.385,0.133,0.239,,0.22,1.003,1.233,,2.985,9.962,3.515,0.292,0.508,1.546,,0.005,,0.005,0.013,0.693,0.51,,32.52,0.425,4.884,3.684,0.638,4.931,,6.649,0.013,0.005,0.033,0.113,,,0.621,1983.443,0.679,1.12,11.534,0.439,0.066,1.121,2.044,0.364,0.462,4.723,0.031,,0.193,0.052,0.479,0.007,0.121,18.107,0.608,0.989,,0.0,3.497,0.013,,0.011,0.444,0.082,0.005
8,2020,2069.1659999999997,7.392,0.835,0.102,,,0.045,,,0.128,,,0.288,0.325,0.0,0.512,,,,,,0.265,0.472,1.845,0.283,,0.98,0.447,0.505,0.212,0.328,,0.292,0.945,1.232,,2.497,7.779,3.032,0.197,0.403,1.535,,0.0,,0.032,0.031,0.76,2.508,,33.645,0.5,3.998,3.052,0.507,5.773,,6.552,0.06,0.0,0.148,0.238,,,0.486,1941.0,0.685,1.108,10.122,0.342,0.1,1.09,2.12,0.312,0.522,5.038,0.132,,0.195,0.138,0.835,0.1,0.395,15.018,0.583,1.027,,0.135,4.522,0.0,,0.07,0.479,0.117,0.042
9,2021,2386.3510000000006,9.858,1.116,,0.314,0.33,0.223,0.264,0.212,0.501,0.011,0.078,0.222,1.243,0.204,0.391,1.185,0.0,0.613,0.038,0.458,0.504,1.586,3.002,0.379,0.005,1.761,0.649,0.691,0.394,0.412,0.0,0.435,1.673,1.659,0.014,3.003,13.058,3.364,,0.56,2.034,0.413,0.207,0.016,0.139,0.082,1.001,0.686,0.038,33.539,0.958,5.265,3.493,0.628,4.668,1.27,7.402,0.34,0.031,0.029,0.761,,,,2230.0,0.944,1.589,11.668,0.452,0.192,1.284,2.584,0.447,0.727,5.625,0.234,0.036,0.39,0.242,1.116,0.008,0.391,15.795,0.819,1.574,,0.368,5.75,0.371,0.032,0.294,0.385,0.334,0.264
