Year,TVOC,BTEX,Benzene,Toluene,Ethylbenzene,Xylene
2012,2403.143,11.589,1.411,5.569,0.876,3.733
2013,2706.055,19.438,3.035,8.918,1.346,6.139
2014,2509.537,16.585,2.202,8.336,1.133,4.914
2015,2416.61,16.478,2.213,8.093,1.182,4.99
2016,2751.276,12.363,2.194,6.119,0.83,3.22
2017,2422.26,8.826,1.764,4.623,0.541,1.898
2018,2317.329,10.448,1.843,5.816,0.569,2.22
2019,2113.56,7.129,1.546,3.497,0.425,1.661
2020,2070.81,9.232,1.535,4.522,0.5,2.675
2021,2390.87,12.759,2.034,5.751,0.958,4.016
2022,2388.606,11.081,1.708,4.981,0.882,3.51
2023,2371.122,14.08,1.707,8.227,0.831,3.315
