,Year,summed_COOPS,BTEX,Xylene,1-Butene,1-Dodecene,1-Heptene,1-Hexene,1-Nonene,1-Octene,1-Pentene,1-Tridecene,1-Undecene,"1,2,3-Trimethylbenzene","1,2,4-Trimethylbenzene","1,3-Butadiene","1,3,5-Trimethylbenzene",MEK,2-Ethyl-1-butene,2-Methyl-1-butene,2-Methyl-1-pentene,2-Methyl-2-butene,2-Methylheptane,2-Methylhexane,2-Methylpentane,"2,2-Dimethylbutane","2,2,3-Trimethylpentane","2,2,4-Trimethylpentane","2,3-Dimethylbutane","2,3-Dimethylpentane","2,3,4-Trimethylpentane","2,4-Dimethylpentane",3-Methyl-1-butene,3-Methylheptane,3-Methylhexane,3-Methylpentane,4-Methyl-1-pentene,Acetaldehyde,Acetone,Acetylene,Acrolein,Benzaldehyde,Benzene,Butyraldehyde,cis-2-Butene,cis-2-Hexene,cis-2-Pentene,Crotonaldehyde,Cyclohexane,Cyclopentane,Cyclopentene,Ethane,Ethylbenzene,Ethylene,Formaldehyde,Hexaldehyde,Isobutane,Isobutylene,Isopentane,Isoprene,Isopropylbenzene,m-Diethylbenzene,m-Ethyltoluene,m-Tolualdehyde,m/p-Xylenes,Methacrolein,Methane,Methylcyclohexane,Methylcyclopentane,n-Butane,n-Decane,n-Dodecane,n-Heptane,n-Hexane,n-Nonane,n-Octane,n-Pentane,n-Propylbenzene,n-Tridecane,n-Undecane,o-Ethyltoluene,o-Xylene,p-Diethylbenzene,p-Ethyltoluene,Propane,Propionaldehyde,Propylene,Propyne,Styrene,Toluene,trans-2-Butene,trans-2-Hexene,trans-2-Pentene,Valeraldehyde,alpha-pinene,beta-pinene
0,2012,3881.735,11.583,0.835,,0.108,1.082,0.064,0.092,0.199,0.394,0.008,0.004,0.126,0.766,0.366,0.272,1.642,0.227,0.195,0.003,0.273,1.361,4.97,21.286,1.27,0.255,0.044,3.499,1.519,0.235,1.259,0.027,0.952,4.491,11.242,0.01,3.129,11.011,2.085,,0.34,2.593,0.652,0.292,0.002,0.071,0.429,7.945,4.259,0.0,221.847,0.622,4.907,2.627,0.305,74.158,,81.342,0.784,0.017,0.153,0.359,,,,2813.171,8.608,10.399,176.185,0.544,0.378,6.683,24.502,0.783,2.432,75.554,0.159,0.223,0.321,0.194,0.835,0.018,0.234,271.241,0.827,1.728,0.0,0.021,7.533,0.378,0.007,0.266,0.171,0.141,0.029
1,2013,4816.652,18.18,1.37,,0.108,0.004,0.077,0.226,0.41,0.315,0.0,0.026,0.315,1.707,0.207,0.475,1.47,0.0,0.234,0.002,0.283,2.023,7.156,22.161,1.368,0.708,0.073,3.677,2.205,0.42,1.238,0.002,1.43,6.324,11.742,0.0,2.498,7.755,3.163,,0.421,6.807,0.665,0.285,0.008,0.076,0.409,12.562,4.692,0.0,277.352,0.998,6.417,2.221,0.323,87.535,,97.473,0.471,0.026,0.0,0.77,,,,3548.824,12.175,10.66,206.857,1.031,0.575,9.669,24.726,1.228,3.64,87.28,0.282,0.167,0.663,0.384,1.37,0.042,0.412,314.337,0.674,2.209,0.014,0.016,9.005,0.405,0.009,0.284,0.14,0.261,0.0
2,2014,3822.2309999999993,13.897,1.125,,0.099,0.062,0.068,0.225,0.285,0.227,0.002,0.015,0.189,1.205,0.124,0.357,1.442,0.0,0.135,0.003,0.198,2.069,6.121,16.212,0.986,0.214,0.0,2.595,1.739,0.273,1.391,0.008,1.361,5.566,8.614,0.0,2.242,8.176,2.142,,0.366,4.196,0.579,0.11,0.001,0.03,0.384,9.461,3.617,0.002,187.515,0.865,4.455,2.044,0.296,60.918,,87.295,0.471,0.011,0.057,0.576,,,,2881.25,9.346,10.621,149.509,0.993,0.672,7.533,23.131,1.214,3.734,64.384,0.17,0.278,0.671,0.263,1.125,0.0,0.379,228.712,0.577,1.671,0.003,0.0,7.711,0.15,0.002,0.186,0.115,0.237,0.0
3,2015,3478.3509999999997,12.925,1.139,0.11,0.0,0.105,0.168,0.239,0.235,0.289,0.0,0.007,0.26,1.388,0.138,0.352,1.335,0.0,0.201,0.0,0.22,1.833,4.519,12.83,0.781,0.08,0.213,2.007,1.433,0.286,1.007,0.0,1.245,4.503,6.719,0.006,2.555,8.995,2.765,,0.381,3.761,0.615,0.151,0.004,0.053,0.381,6.793,2.907,0.0,154.965,0.876,4.684,2.222,0.318,43.668,0.11,68.007,0.483,0.014,0.017,0.699,,,,2743.958,7.966,8.689,107.393,1.119,0.466,6.306,18.194,1.191,3.221,45.591,0.222,0.088,0.556,0.306,1.139,0.0,0.489,173.144,0.667,1.567,0.0,0.049,7.149,0.124,0.02,0.247,0.158,0.297,0.102
4,2016,3745.551,10.677,0.757,0.323,0.0,0.066,0.086,0.197,0.179,0.194,0.0,0.006,0.083,0.593,0.076,0.232,1.269,0.0,0.125,0.0,0.194,1.167,2.747,10.348,0.632,0.033,1.036,1.615,0.973,0.19,0.752,0.0,0.794,3.076,5.563,0.0,2.305,7.031,3.322,0.17,0.498,3.519,0.601,0.303,0.002,0.056,0.161,4.599,2.215,0.005,155.328,0.701,4.28,2.239,0.339,41.487,,43.757,0.133,0.008,0.011,0.371,,,0.277,3110.561,5.08,5.929,92.79,0.613,0.272,4.759,13.221,0.842,2.07,36.653,0.074,0.047,0.373,0.151,0.757,0.007,0.21,156.305,0.646,1.26,0.0,0.009,5.7,0.368,0.01,0.169,0.324,0.084,0.0
5,2017,3425.285999999999,10.498,0.513,0.17,,,0.03,,,0.111,,,0.015,0.175,0.011,0.12,,,,,,1.131,2.061,11.67,0.592,,1.459,1.779,0.933,0.09,0.756,,0.766,2.959,6.334,,2.521,8.103,3.011,0.195,0.562,3.513,,0.33,,0.084,0.016,4.61,2.459,,177.341,0.662,4.1,2.233,0.369,41.467,,41.472,0.09,0.005,0.0,0.238,,,0.413,2754.707,5.61,6.47,96.374,0.502,0.192,5.492,15.218,1.121,2.048,40.689,0.025,,0.502,0.007,0.513,0.0,0.279,162.159,0.68,1.043,,0.0,5.81,0.343,,0.162,0.366,0.018,0.0
6,2018,2797.9739999999993,8.448,0.505,0.12,,,0.0,,,0.064,,,0.028,0.118,0.008,0.167,,,,,,0.775,1.254,6.679,0.297,,1.134,1.002,0.661,0.075,0.484,,0.552,2.125,3.566,,2.415,7.687,3.134,0.192,0.5,2.434,,0.088,,0.026,0.003,2.908,1.549,,100.73,0.548,4.011,2.134,0.407,25.592,,23.577,0.034,0.0,0.0,0.316,,,0.354,2383.421,3.907,3.964,59.249,0.707,0.243,3.838,8.889,0.913,1.52,23.792,0.046,,0.562,0.0,0.505,0.016,0.366,101.303,0.643,0.838,,0.008,4.961,0.098,,0.049,0.352,0.018,0.018
7,2019,2571.003999999999,6.791,0.518,0.073,,,0.005,,,0.182,,,0.067,0.077,0.01,0.09,,,,,,0.642,0.838,6.31,0.305,,1.133,0.99,0.597,0.047,0.435,,0.438,1.822,3.783,,2.692,8.378,3.108,0.213,0.402,2.398,,0.119,,0.022,0.008,2.695,1.432,,97.547,0.472,4.023,2.607,0.643,23.648,,21.745,0.107,0.003,0.013,0.228,,,0.723,2182.5,3.182,3.6,55.377,0.918,0.305,3.178,8.048,0.843,1.218,21.798,0.067,,0.567,0.175,0.518,0.063,0.188,91.838,0.62,0.915,,0.0,3.403,0.132,,0.033,0.372,0.058,0.018
8,2020,2367.5610000000006,10.636,0.811,0.07,,,0.071,,,0.161,,,0.264,0.425,0.005,0.402,,,,,,0.634,1.105,5.179,0.377,,1.157,0.843,0.712,0.175,0.534,,0.461,1.82,2.986,,3.261,9.458,4.054,0.267,0.44,2.886,,0.0,,0.025,0.037,2.325,1.346,,79.9,0.684,3.63,3.246,0.642,17.63,,19.027,0.202,0.016,0.164,0.314,,,0.53,2038.214,2.3,3.032,41.48,0.805,0.214,2.891,6.948,0.636,1.132,18.212,0.12,,0.854,0.079,0.811,0.145,0.188,73.061,0.835,0.941,,0.136,6.255,0.016,,0.055,0.504,0.202,0.03
9,2021,2498.9959999999996,5.106,0.429,0.0,0.256,0.209,0.134,0.161,0.18,0.233,0.019,0.051,0.038,0.498,0.049,0.105,1.167,0.0,0.294,0.006,0.115,0.307,1.422,3.617,0.188,0.018,0.238,0.463,0.41,0.061,0.243,0.09,0.249,1.316,1.666,0.031,2.552,7.638,1.79,,0.343,1.402,0.337,0.072,0.0,0.031,0.098,1.289,0.619,0.0,39.584,0.338,2.314,2.684,0.474,8.602,0.628,14.713,0.369,0.002,0.019,0.206,,,,2312.586,1.471,1.905,21.526,0.338,0.205,1.58,3.744,0.348,0.679,9.325,0.072,0.102,0.313,0.057,0.429,0.01,0.138,38.638,0.945,0.756,0.002,0.201,2.937,0.196,0.0,0.133,0.282,0.069,0.071
